1,Tanah Aluvial,Tanah Aluvial,Fluvisol, - Entisol
,,,, - Inceptisol
2,Andosol,Andosol,Andosol,Andisol
3,Brown Forest Soil,Kambisol,Cambisol,Inceptisol
4,Grumosol,Grumosol,Vertisol,Vertisol
5,Latosol, - Kambisol, - Cambisol, - Inceptisol
,, - Latosol, - Nitosol, - Ultisol
,, - Lateritik, - Ferralsol, - Oxisol
6,Litosol,Litosol,Litosol,Entisol (lithic Subgrup)
7,Mediteran,Mediteran,Luvisol,Alfisol/Inceptisol
8,Organosol,Organosol,Histosol,Histosol
9,Podsol,Podsol,Podsol,Spodosol
10,Podsolik Merah Kuning,Podsolik,Acrisol,Ultisol
11,Podsolik Coklat,Kambisol,Cambisol,Inceptisol
12,Podsolik Coklat Kelabu,Podsolik,Acrisol,Ultisol
13,Regosol,Regosol,Regosol,Entisol/Inceptisol
14,Renzina,Renzina,Renzina,Rendoll
15, - ,Ranker,Ranker, -
