1,Aceh,21.6,33.5,0.8,55.9,44.1
2,Sumatera Utara,8.3,15.5,1.9,25.7,74.3
3,Sumatera Barat,14.3,31.5,0.3,46.1,53.9
4,Riau,2.6,16.8,9.4,28.8,71.2
5,Jambi,16.6,7.3,4.3,28.2,71.9
6,Sumatera Selatan,4.4,6.4,6.8,17.6,82.3
7,Kepulauan Bangka Belitung,2.5,12.6,0,15.1,84.9
8,Bengkulu,21.9,12.4,0.2,34.5,65.4
9,Lampung,6.1,4.3,0.2,10.6,89.4
10,Kepulauan Riau,2.2,32.2,0.2,34.6,65.4
11,Banten,0.8,6.9,8.7,16.4,83.5
12,DKI Jakarta,0,0.5,0,0.5,99.5
13,Jawa Barat,2.8,2.7,11.9,17.4,82.6
14,Jawa Tengah,0,1.9,20.5,22.4,77.5
15,DI Yogyakarta,0,0.1,10.7,10.8,89.2
16,Jawa Timur,0.3,9.4,18.6,28.3,71.7
17,Kalimantan Barat,16.1,23.3,0.4,39.8,60.3
18,Kalimantan Selatan,12.4,9.1,3.8,25.3,74.7
19,Kalimantan Tengah,7.9,42.6,1.0,51.5,48.5
20,Kalimantan Timur,32.5,35.1,1.9,69.5,30.5
21,Sulawesi Utara,18.6,20.5,0,39.1,60.8
22,Gorontalo,24.6,34.7,0,59.3,40.7
23,Sulawesi Tengah,16.0,47.0,0,63,36.9
24,Sulawesi Tenggara,9.6,43.8,0.1,53.5,46.6
25,Sulawesi Barat,19.5,30.4,0,49.9,50.1
26,Sulawesi Selatan,13.4,19.3,0.3,33,67.1
27,Bali,7.8,10.0,0.3,18.1,81.9
28,Nusa Tenggara Barat,22.7,19.7,0.1,42.5,57.5
29,Nusa Tenggara Timur,3.3,23.0,0.1,26.4,73.6
30,Maluku Utara,12.7,53.7,1.0,67.4,32.6
31,Maluku,12.4,53.1,0,65.5,34.4
32,Papua,63.9,17.1,0,81,19.1
33,Papua Barat,58.2,33.9,0,92.1,7.9
